Caixa;Localização/Tipo;Projeto/Categoria;Descrição;Data/Período;Obs;
184;Prado Chaves – Diretoria 8º andar;Escrit rio;Agendas / Cadernos / Lista Cartões Natal;2012 a 2014;;
184;Prado Chaves – Diretoria 8º andar;Escrit rio;Ordem de Pagamento / Assinaturas Antigas (Business Week);2014/2015;;
184;Prado Chaves – Diretoria 8º andar;Projetos;Parque Faber / Residencial Morumbi L4;-;Obs: Vide lista nova;
184;Prado Chaves – Diretoria 8º andar;Projetos;Nova São Carlos (Aeronáutica e Descrições);-;Obs: Reforma;
185;Prado Chaves – Diretoria 8º andar;Pessoal;Álbum de Foto;2015;Obs: Reforma;
186;Prado Chaves – Diretoria 8º andar;Pessoal;Agendas Dr. Luiz Carlos;1956 a 1976;Obs: Reforma;
187;Prado Chaves – Diretoria 8º andar;Pessoal;Agendas Dr. Luiz Carlos;1977 a 1996;Obs: Reforma;
188;Prado Chaves – Diretoria 8º andar;Pessoal;Agendas Dr. Luiz Carlos;1997 a 2014;Obs: Reforma;
189;Prado Chaves – Diretoria 8º andar;Riviera;Ação Civil Pública;Ago/2010 a Jun/2012;Obs: Reforma;
190;Prado Chaves – Diretoria 8º andar;Riviera;Ação Civil Pública - Diversos / Processos Diversos;-;;
196;Prado Chaves – Diretoria 8º andar;Pessoal/Jurídico;Pastas Az Maria Cecília (Questões de Locações, Consultas, Minutas);-;;
196;Prado Chaves – Diretoria 8º andar;Pessoal;Correspond ncias Expedidas (LC+Peral e Outras);-;;
196;Prado Chaves – Diretoria 8º andar;Jurídico;Consultas Advogados (Antigas) / Codebra / Caso Medina / Nelson Caldeira;Anos 70/80;;
196;Prado Chaves – Diretoria 8º andar;Jurídico/Pessoal;Salinha Dr. LCPA - Maria Cecília (Locações: Consultas, Corresp, Minutas);-;;
196;Prado Chaves – Diretoria 8º andar;Pessoal;Correspond ncias Expedidas (LC+Peral e Outras);-;;
196;Prado Chaves – Diretoria 8º andar;Jurídico;Consultas a Advogados (Antigas) / Codebra / Caso Medina / Nelson Caldeira;Anos 70/80;;
197;Prado Chaves – Diretoria 8º andar;Financeiro;Contas (Financeiro);2005 a 31/10/2012;;
197;Prado Chaves – Diretoria 8º andar;Riviera;Plantas Aprovadas Prefeitura de Santos / Família Magalhães;-;;
198;Prado Chaves – Diretoria 8º andar;FIABCI;Álbum de Fotos;-;;
198;Prado Chaves – Diretoria 8º andar;Pessoal;Livro de Fotos Dr. Luiz Carlos - Presidência Mundial / D. Vera;-;;
199;Prado Chaves – Diretoria 8º andar;Pessoal/Náutica;Gavetões - Livros sobre Marina e Álbum de Fotos;-;;
200;Prado Chaves – Diretoria 8º andar;Diversos;Gavetões - Materiais Diversos Antigos (Mudança 2015);-;;
201;Prado Chaves – Diretoria 8º andar;Institucional;Liceu - Correspond ncias Recebidas eRelat rios;1978 a 2009;;
201;Prado Chaves – Diretoria 8º andar;Pessoal;Dr. Luiz Carlos - Plano de Viagem;-;;
201;Prado Chaves – Diretoria 8º andar;Imobili rio;Aptos Riviera: Beach House / Bel Magalhães / Sr. Clóvis / Diversos;-;;
202;Prado Chaves – Diretoria 8º andar;São Carlos;Análise de Projeto (Estudos Econômicos Fábio Penteado);-;Obs: Reforma;
202;Prado Chaves – Diretoria 8º andar;São Carlos;Comportamento do Tadros / Climas/Electrolux;1996;Obs: Reforma;
202;Prado Chaves – Diretoria 8º andar;Diversos;Brasilinvest / Ed. Panorama Morumbi / Leonardo da Vinci;-;Obs: Reforma;
202;Prado Chaves – Diretoria 8º andar;Diversos;Dr. Jan Caloi / Jardim das Praias / Chácara Mattos / Trata Brasil;-;Obs: Reforma;
202;Prado Chaves – Diretoria 8º andar;Institucional;"Marca Sobloco (Contrato do ""5"")";-;Obs: Reforma;
203;Prado Chaves – Diretoria 8º andar;Rural/Econômico;Eco 92 / Plantação de Laranja (Estudo Econômico);1992;Obs: Reforma;
203;Prado Chaves – Diretoria 8º andar;Publica  es;Benno Perelmutter / Cidade / Interval / Dirigente / Revista Ind. Imobiliária;ago/92;Obs: Reforma;
203;Prado Chaves – Diretoria 8º andar;Institucional;Balancetes Sobloco / 500 Grandes da Construção / FAAP 60 Anos;Anos 70;Obs: Reforma;
203;Prado Chaves – Diretoria 8º andar;Jurídico;Caio Soares Pinto / Pareceres Jurídicos (Antigos);-;Obs: Reforma;
203;Prado Chaves – Diretoria 8º andar;Riviera;Minutas Definitivas de Contratos;-;Obs: Reforma;
203;Prado Chaves – Diretoria 8º andar;Diversos;RTKL / Seguros S.F.H. / Vila Cisper / Edif cio New Star (Documentos Antigos);-;Obs: Reforma;
204;Prado Chaves – Diretoria 8º andar;Financeiro/Adm;Análise Financeira / Atas Reunião de Diretoria;2014 e 02/13 a 07/15;;
204;Prado Chaves – Diretoria 8º andar;Publica  es;Alerta / Resenha / Jane (SECOVI);-;;
205;Prado Chaves – Diretoria 8º andar;Victoria House;Correspond ncias Recebidas e Expedidas;1988 a 2007;;
205;Prado Chaves – Diretoria 8º andar;Jurídico;Processo Telefônica;-;;
205;Prado Chaves – Diretoria 8º andar;Diversos;Folhetos / Documentos Antigos;-;;
206;Prado Chaves – Diretoria 8º andar;Publica  es;Revistas Balanço Anual;1981 a 2008 (Salteados);;
206;Prado Chaves – Diretoria 8º andar;Publica  es;Exame;1986 e 1987;;
207;Prado Chaves – Diretoria 8º andar;Espaço Cerâmica;Proposta / Prefeitura / Atas / Caso Aparecido Viana;2010 a 2015;;
207;Prado Chaves – Diretoria 8º andar;Mídia;Recortes de Jornal;2010 a 2015;;
10 a 14;Prado Chaves – Diretoria 8º andar;FIABCI;Correspond ncias e Documentos;1989 a 1995;;
15 a 16;Prado Chaves – Diretoria 8º andar;FIABCI;Correspond ncias e Documentos;1995 a 1996;;
21 a 22;Prado Chaves – Diretoria 8º andar;Publica  es;Lux Publica  es;1987 a 1993;;
25 a 27;Prado Chaves – Diretoria 8º andar;FIABCI/Inst;FIABCI (1997-1999) / Estatutos / Prêmio Master / Liceu;-;;
31 a 33;Prado Chaves – Diretoria 8º andar;Diversos;Molduras Diversas e Molduras FIABCI;-;;
35 a 36;Prado Chaves – Diretoria 8º andar;FIABCI;LCPA Molduras / Projetos Prix / Correspond ncias 2000;-;;
47 a 49;Prado Chaves – Diretoria 8º andar;Riviera;Contratos /Relat rios (Velzi/Marika) / Minutas / Soc. Amigos / Caso Riviera Park;-;;
58 a 62;Prado Chaves – Diretoria 8º andar;Literatura;Livros (Ambientalismo Novo Colonialismo, Máfia Verde) / Capax Dei;-;;
63 a 64;Prado Chaves – Diretoria 8º andar;Paulínia;Correspond ncias (1993-2005) / Paulicentro (Decretos, Estudos);-;;
66 a 67;Prado Chaves – Diretoria 8º andar;Literatura;Livros SFH (Sala Dr. Luiz Carlos);-;;
81, 82, 86;Prado Chaves – Diretoria 8º andar;Literatura;Livros A Hora da Hidrovia;-;;
53;Prado Chaves – Diretoria 8º andar;São Carlos;Faber Castell (2007);2007;;
53;Prado Chaves – Diretoria 8º andar;São Carlos;Prefeitura;;;
53;Prado Chaves – Diretoria 8º andar;São Carlos;Sobloco (2005);2005;;
53;Prado Chaves – Diretoria 8º andar;São Carlos;Ordem de Pagamento;;;
53;Prado Chaves – Diretoria 8º andar;São Carlos;Riviera de São Lourenço (2004);2004;;
53;Prado Chaves – Diretoria 8º andar;São Carlos;Diversos;;;
53;Prado Chaves – Diretoria 8º andar;PRAIAS PAULISTAS;2004 e 2005;2004/2005;;
53;Prado Chaves – Diretoria 8º andar;PRAIAS PAULISTAS;Corresp. Recebidas;;;
53;Prado Chaves – Diretoria 8º andar;PRAIAS PAULISTAS;Corresp. Expedias;;;
53;Prado Chaves – Diretoria 8º andar;PRAIAS PAULISTAS;SOPRAC;2004/2005;;
53;Prado Chaves – Diretoria 8º andar;PRAIAS PAULISTAS;Corresp. Recebidas;;;
53;Prado Chaves – Diretoria 8º andar;PRAIAS PAULISTAS;Corresp. Expedidas;;;
53;Prado Chaves – Diretoria 8º andar;PRAIAS PAULISTAS;Contratos;;;
53;Prado Chaves – Diretoria 8º andar;PRAIAS PAULISTAS;Atas;;;
53;Prado Chaves – Diretoria 8º andar;PRAIAS PAULISTAS;Diversos;;;
53;Prado Chaves – Diretoria 8º andar;PRAIAS PAULISTAS;Minutas;;;
53;Prado Chaves – Diretoria 8º andar;PRAIAS PAULISTAS;CONDEMA;2004/2005;;
53;Prado Chaves – Diretoria 8º andar;PRAIAS PAULISTAS;Corresp. Recebidas;;;
53;Prado Chaves – Diretoria 8º andar;PRAIAS PAULISTAS;Corresp. Expedidas;;;
53;Prado Chaves – Diretoria 8º andar;PRAIAS PAULISTAS;Diversos;;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Faber Castell - 2005;2005;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Corresp. Recebidas;;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Corresp. Expedidas;;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Atas do Parque Faber;;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Prefeitura;;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Requerimentos;;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Contratos;;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Diversos e Minutas;;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Faber Castell 2006;2006;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Corresp. Recebidas;;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Corresp. Expedias;;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Faber Castell 2007;2007;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Corresp. Recebidas;;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Corresp. Expedidas;;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Contratos;;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Estudos de Viabilidade;;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Estudos Diversos;;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Prefeitura;;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Requerimentos;;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Atas;;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Minutas;;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Faber Castell / Encadernações;;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Aprovação Orçamento 2005;2005;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;Shopping Iguatemi;;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;CIRA - Estudo preliminar;2007;;
53;Prado Chaves – Diretoria 8º andar;SÃO CARLOS;jan 2005 (Obs: Versão alterada posteriori);2005;;
54;Prado Chaves – Diretoria 8º andar;GUARUJÁ;MARIESTE 2005;2005;;
54;Prado Chaves – Diretoria 8º andar;GUARUJÁ;Corresp. Recebidas;;;
54;Prado Chaves – Diretoria 8º andar;GUARUJÁ;Corresp. Expedidas;;;
54;Prado Chaves – Diretoria 8º andar;GUARUJÁ;Diversos;;;
54;Prado Chaves – Diretoria 8º andar;SOBLOCO;2004 e 2005;2004/2005;;
54;Prado Chaves – Diretoria 8º andar;SOBLOCO;Corresp. Recebidas;;;
54;Prado Chaves – Diretoria 8º andar;SOBLOCO;Corresp. Expedidas;;;
54;Prado Chaves – Diretoria 8º andar;SOBLOCO;Memorandum interno;;;
54;Prado Chaves – Diretoria 8º andar;SOBLOCO;Relatório Dep. Jurídico;;;
54;Prado Chaves – Diretoria 8º andar;SOBLOCO;Relatório Esc. Advocacia;;;
54;Prado Chaves – Diretoria 8º andar;SOBLOCO;2004, 2005 e 2006;2004/2005/2006;;
54;Prado Chaves – Diretoria 8º andar;SOBLOCO;Análise Financeira;;;
54;Prado Chaves – Diretoria 8º andar;SOBLOCO;Ordem de Pagamento;;;
54;Prado Chaves – Diretoria 8º andar;SOBLOCO;Protocolo Externo;;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;2006 / 2007 / 2008;2006/2007/2008;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Corresp. Recebidas;;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Corresp. Expedidas;;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Balanços / Balancetes;;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Procurações / Seguros;;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Estatutos Sociais / Posição acionária;;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Atas Conselho de Administração;;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Contratos com Empresas;;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Daily Report (2006);2006;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;CAPITAL Empreendimentos / CEPAR;;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Contratos / Atas / Diversos;;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Acordo de acionistas;;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Diversos;;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Contratos Holiday Inn;;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Open Door / Consultoria - 1997;1997;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Projeto Construção CCH;;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Carta WWI Investmente Corp. 21/10/2004;2004;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Minuta apresentada Pinheiro Neto 1996;1996;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Minuta aditivo Contrato Gerenciamento;;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Relatório Walter Ribeiro - 1996;1996;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Elevadores Atlas;;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Hotel Investment Advisors - Avaliação Econômica;2002;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Levantamento receb. C.Plaza - 13/03/2003;2003;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Minuta Recebida Soteconti - 1999;1999;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Relatório Recebido Soteconti - 2000;2000;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Dossiê Benno Sucholdolski;1996;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Corresp. Trocadas Grupo Holiday Inns 1995 e 1996;1995/1996;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Corresp. Trocadas Grupo Forte/Meridien 1995 e 1996;1995/1996;;
55;Prado Chaves – Diretoria 8º andar;CAPITAL CENTER;Receb. Charles Anderson Bell (Diversas datas 1995);1995;;
