Caixa;Localização/Tipo;Projeto/Categoria;Descrição;Data/Período;Obs;
36;Prado Chaves – Diretoria 8º andar;FIABCI;Corresponcências Expedidas 2000 / Projetos Prix / Documentos Diversos;2000;-; 
;;;;;;
37;Prado Chaves – Diretoria 8º andar;Lux;Lux Publicões;2000/2001;-; 
37;Prado Chaves – Diretoria 8º andar;Não identificado;Ordem de Pagamento;1999 a 2001;-; 
37;Prado Chaves – Diretoria 8º andar;Rua Maranhão;Rua Maranhão - Correspondências recebidas e expedidas,Documentos, Contratos, Propostas, Diversos;-; ;
;;;;;;
38;Prado Chaves – Diretoria 8º andar;Não identificado;Dr. Luiz Carlos - Plano de Viagem;-; ;
38;Prado Chaves – Diretoria 8º andar;Não identificado;Protocolos;1993 a 1999;-;
;;;;;;
39;Prado Chaves – Diretoria 8º andar;RIVIERA; Documentos Professor Faiçal Simon - Fotos e Relatórios;-; ;
39;Prado Chaves – Diretoria 8º andar;RIVIERA;Relatório Rodolfo Geiser;-; ;
39;Prado Chaves – Diretoria 8º andar;Riviera de São Lourenço;Correspondências Sobloco, Praias, Acaraú;1979 a 1988;-;
;;;;;;
40;Prado Chaves – Diretoria 8º andar;Não identificado;Dr. Luiz Carlos - Correspondências Expedidas;1961 a 2000;-;
40;Prado Chaves – Diretoria 8º andar;Não identificado;Dr. Luiz Carlos - Correspondências Recebidas;1973 a 1993;-; 
40;Prado Chaves – Diretoria 8º andar;Não identificado;Dr. Luiz Carlos - Correspondências Recebidas;1994 a 1998;-; 
;;;;;;
41;Prado Chaves – Diretoria 8º andar;Lápis Johann Faber;Lápis Johann Faber - Minutas / Orçamentos / Propostas / Estudos / Cálculos / Tabelas;-; ;
;;;;;;
42;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;CIP/Rhodia - Correspondências recebidas e Expedidas, Contratos, Orçamentos, Propostas, Escrituras, Documentos Legais, Atas, Procurações, Recibos,Minutas, Diversos;-; ;
;;;;;;
43;Prado Chaves – Diretoria 8º andar;Sobloco;Sobloco - Correspondências Expedidas (julho a dezembro/98 a 2001), Correspondências Recebidas (1998 a 2001) e Análise Financeira (1994 a 1999);1994 a 2001;-; 
;;;;;;
44;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Secovi - Coluna Secovi - Correspondências Recebidas 1994 a 1998/ Clubes (Paulistano, São Paulo Golf Club, Guarujá) / Ação Comunitária - Correspondências Recebidas e Expedidas 1995 a 2002;-; ;
;;;;;;
45;Prado Chaves – Diretoria 8º andar;Não identificado;CAIXA EXCLUÍDA;-;Obs: Excluída ;
46;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Fitas de Vídeo - Caixa 1 - Centro Empresarial de São Paulo - CESP, Construtora Walter Torre Jr - Galpões Industriais, Consid - Documentários em Português e Inglês, Estância ;;;
Balneária de Praia Grande, SPA Fit Solarium (2 fitas), Tecnisa - Racionalização - Prêmio Master 1996, São Paulo Fashion Center - La Fonte, O Poder das Ideias no Trabalho (Vídeo Comunicações), The Flat (Eugênio Associados Comunicação);-; ;;;;
46;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Fitas de Vídeo - Caixa 2 - West Lakes - Inglês, West Lakes 1992 - 2 fitas, Sheldon Good Speech - NAR, FIABCI Agosto de 1992, Projeto AMA - Hospital Samaritano, Operação Interligada - Outubro 1999 - Secovi, Abrasce, Sinduscon/SP, MAP Consultoria de Risco, Fita Demonstração Apresentador Inglês - Neviile de Almeida, Trilha Sonora);-; ;
46;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Fitas de Vídeo - Caixa 3 - Benchmarking - Outside The Box Harvard Business School, Secovi Institucional, Secovi Mananciais - 03/05/1999, Mata Atlântica: Uma viagem de Descoberta - Gov. Estado de São Paulo, Shopping Center Iguatemi São Carlos, Programa Debate Meio Ambiente TV Costa Norte - fitas 01 e 02, Entrevista com Deputado Ricardo Izar - TV Câmara/TV Senado - 29/04/1999);-; ;
;;;;;;
47;Prado Chaves – Diretoria 8º andar;Riviera de São Lourenço;Contratos / Estudos / Cálculos / Tabelas;-; ;
;;;;;;
48;Prado Chaves – Diretoria 8º andar;Múltiplos projetos;Riviera - Lopes Correspondências recebidas e expedidas, contratos, Atas, diversos/Relatório de Atividades Paulo Velzi, Marika Lage e Bolivar Barbanti/ Minutas, Plantas e Menoriais;-; ;
;;;;;;
49;Prado Chaves – Diretoria 8º andar;Riviera;Sociedade Amigos ETA/ETE - 2002 a 2003, Caso Riviera Park, Diversos 1998 a 2001, Centro Cívico Cultural, Arnaldo Paolielo;-; ;
;;;;;;
50;Prado Chaves – Diretoria 8º andar;Faber;Lápis Johann Faber - Correspondências diversas, texto audio visual, Ata S.C. Iguatemi, Diversos, Minutas,Pesquisa Mercado;-;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
51;Prado Chaves – Diretoria 8º andar;FIABCI;Correspondências Recebidas e Expedidas;2001 a 2003;;
51;Prado Chaves – Diretoria 8º andar;FIABCI;Correspondências;2001 a 2003;;
;;;;;;
52;Prado Chaves – Diretoria 8º andar;Diversos;Molduras Diversas (FAAP, Secovi, Unibanco Ecologia);-;;
52;Prado Chaves – Diretoria 8º andar;Diversos;Molduras Diversas;-;;
;;;;;;
53;Prado Chaves – Diretoria 8º andar;Mídia;Recortes de Jornais / Rua Dr. Sarmento;-;;
53;Prado Chaves – Diretoria 8º andar;Mídia;Recortes de jornais / Rua Dr. Sarmento;-;;
;;;;;;
54;Prado Chaves – Diretoria 8º andar;Paulínia;Rhodia Paulínia / Paulicentro - Atas,Relat rios, Contratos;-;;
54;Prado Chaves – Diretoria 8º andar;Paulínia;Rhodia Paulínia / Paulicentro (Atas antigas, gráficos);-;;
;;;;;;
55;Prado Chaves – Diretoria 8º andar;Pessoal/Inst;Dr. Luiz Carlos e Sobloco - Corresp e Documentos;1999 a 2003;;
55;Prado Chaves – Diretoria 8º andar;Pessoal/Inst;Dr. LCPA (1999-2003) / Sobloco Construtora (2002-2003);-;;
